tweet_id,timestamp,text,expanded_urls,dog_name,dog_stage,dog_breed,dog_breed_conf,rating_numerator,rating_denominator,retweet_count,favorite_count,tweet_id,timestamp,text,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,tweet_id,jpg_url,img_num,dog_breed,dog_breed_conf,tweet_id,retweet_count,favorite_count
8.924206435553362e+17,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,https://twitter.com/dog_rates/status/892420643555336193/photo/1,Phineas,,,,13.0,10.0,8341.0,38129.0,8.924206435553362e+17,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10.0,Phineas,,6.660208880227901e+17,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1.0,Welsh_springer_spaniel,0.465074,892420643555336193,8341,38129
8.921774213063434e+17,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",https://twitter.com/dog_rates/status/892177421306343426/photo/1,Tilly,,Chihuahua,0.323581,13.0,10.0,6164.0,32707.0,8.921774213063434e+17,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10.0,Tilly,,6.660292850026209e+17,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1.0,Redbone,0.506826,892177421306343426,6164,32707
8.918151813780849e+17,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://twitter.com/dog_rates/status/891815181378084864/photo/1,Archie,,Chihuahua,0.716012,12.0,10.0,4079.0,24623.0,8.918151813780849e+17,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10.0,Archie,,6.660334127010324e+17,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1.0,German_shepherd,0.596461,891815181378084864,4079,24623
8.916895572798587e+17,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,Darla,,Labrador_retriever,0.168086,13.0,10.0,8485.0,41476.0,8.916895572798587e+17,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10.0,Darla,,6.660442263298007e+17,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1.0,Rhodesian_ridgeback,0.408143,891689557279858688,8485,41476
8.913275589266883e+17,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",Franklin,,Basset,0.555712,12.0,10.0,9171.0,39641.0,8.913275589266883e+17,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12.0,10.0,Franklin,,6.660492481658225e+17,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1.0,Miniature_pinscher,0.560311,891327558926688256,9171,39641
8.910879508758979e+17,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,https://twitter.com/dog_rates/status/891087950875897856/photo/1,,,Chesapeake_bay_retriever,0.425595,13.0,10.0,3056.0,19907.0,8.910879508758979e+17,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10.0,,,6.660507587946947e+17,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1.0,Bernese_mountain_dog,0.651137,891087950875897856,3056,19907
8.909719131739914e+17,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",Jax,,Appenzeller,0.34170300000000003,13.0,10.0,2027.0,11639.0,8.909719131739914e+17,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13.0,10.0,Jax,,6.660518538268508e+17,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1.0,,,890971913173991426,2027,11639
8.907291814112379e+17,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",,,Pomeranian,0.566142,13.0,10.0,18509.0,64332.0,8.907291814112379e+17,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13.0,10.0,,,6.660555250424054e+17,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1.0,Chow,0.692517,890729181411237888,18509,64332
8.906091851503124e+17,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,https://twitter.com/dog_rates/status/890609185150312448/photo/1,Zoey,,Irish_terrier,0.487574,13.0,10.0,4194.0,27351.0,8.906091851503124e+17,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,10.0,Zoey,,6.66057090499244e+17,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1.0,Golden_retriever,0.00795896,890609185150312448,4194,27351
8.902402553491988e+17,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,doggo,Pembroke,0.511319,14.0,10.0,7241.0,31387.0,8.902402553491988e+17,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10.0,Cassie,doggo,6.660586005241569e+17,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1.0,Miniature_poodle,0.201493,890240255349198849,7241,31387
8.900066081131725e+17,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",Koda,,Samoyed,0.957979,13.0,10.0,7195.0,30169.0,8.900066081131725e+17,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13.0,10.0,Koda,,6.660638272560865e+17,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1.0,Golden_retriever,0.77593,890006608113172480,7195,30169
8.898808964798669e+17,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,https://twitter.com/dog_rates/status/889880896479866881/photo/1,Bruno,,French_bulldog,0.377417,13.0,10.0,4883.0,27336.0,8.898808964798669e+17,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13.0,10.0,Bruno,,6.660711932215091e+17,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1.0,Gordon_setter,0.503672,889880896479866881,4883,27336
8.896653883336827e+17,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,https://twitter.com/dog_rates/status/889665388333682689/photo/1,,puppo,Pembroke,0.966327,13.0,10.0,9869.0,47320.0,8.896653883336827e+17,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13.0,10.0,,puppo,6.66073100786774e+17,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1.0,Walker_hound,0.260857,889665388333682689,9869,47320
8.896388375799071e+17,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",Ted,,French_bulldog,0.99165,12.0,10.0,4460.0,26703.0,8.896388375799071e+17,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12.0,10.0,Ted,,6.660829167331983e+17,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1.0,Pug,0.489814,889638837579907072,4460,26703
8.895311353442099e+17,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,https://twitter.com/dog_rates/status/889531135344209921/photo/1,Stuart,puppo,Golden_retriever,0.953442,13.0,10.0,2204.0,14859.0,8.895311353442099e+17,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13.0,10.0,Stuart,puppo,6.660940000221594e+17,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1.0,Bloodhound,0.195217,889531135344209921,2204,14859
8.892788419816858e+17,2017-07-24 00:19:32,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,https://twitter.com/dog_rates/status/889278841981685760/video/1,Oliver,,Whippet,0.626152,13.0,10.0,5275.0,24837.0,8.892788419816858e+17,2017-07-24 00:19:32,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,https://twitter.com/dog_rates/status/889278841981685760/video/1,13.0,10.0,Oliver,,6.66099513787052e+17,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1.0,Lhasa,0.58233,889278841981685760,5275,24837
8.889172381238313e+17,2017-07-23 00:22:39,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,https://twitter.com/dog_rates/status/888917238123831296/photo/1,Jim,,Golden_retriever,0.714719,12.0,10.0,4410.0,28631.0,8.889172381238313e+17,2017-07-23 00:22:39,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12.0,10.0,Jim,,6.661021559091446e+17,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1.0,English_setter,0.298617,888917238123831296,4410,28631
8.888049891996713e+17,2017-07-22 16:56:37,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",Zeke,,Golden_retriever,0.46976,13.0,10.0,4213.0,25136.0,8.888049891996713e+17,2017-07-22 16:56:37,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13.0,10.0,Zeke,,6.661041332886651e+17,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1.0,,,888804989199671297,4213,25136
